0.66;0.12
0.62;0.11
0.45;0.08
0.9;0.16
0.72;0.13
0.69;0.12
0.18;0.03
0.5;0.09
0.61;0.11
0.99;0.18
0.76;0.14
0.65;0.12
0.79;0.14
0.28;0.05
0.68;0.12
0.29;0.05
0.08;0.01
0.99;0.18
0.4;0.07
0.35;0.06
0.44;0.08
0.68;0.12
0.32;0.06
0.99;0.18
0.65;0.12
0.08;0.01
0.38;0.07
0.98;0.18
0.24;0.04
0.36;0.06
0.03;0.01
0.32;0.06
0.87;0.16
0.44;0.08
0.6;0.11
0.74;0.13
0.4;0.07
0.14;0.03
0.13;0.02
0.03;0.01
0.25;0.04
0.47;0.08
0.17;0.03
0.97;0.17
0.51;0.09
0.32;0.06
0.28;0.05
0.04;0.01
0.48;0.09
0.38;0.07
0.13;0.02
0.71;0.13
0.99;0.18
0.13;0.02
0.85;0.15
0.84;0.15
0.94;0.17
0.33;0.06
1.0;0.18
0.56;0.1
0.26;0.05
0.95;0.17
0.93;0.17
0.86;0.15
0.93;0.17
0.7;0.13
0.51;0.09
0.5;0.09
0.08;0.01
0.64;0.12
0.84;0.15
0.07;0.01
0.6;0.11
0.45;0.08
0.53;0.1
0.45;0.08
0.51;0.09
0.05;0.01
0.31;0.06
0.62;0.11
0.09;0.02
0.53;0.1
0.09;0.02
0.91;0.16
0.92;0.17
0.44;0.08
0.15;0.03
0.62;0.11
0.53;0.1
0.02;0.0
0.5;0.09
0.22;0.04
0.74;0.13
0.46;0.08
0.36;0.06
0.49;0.09
0.48;0.09
0.4;0.07
0.72;0.13
0.16;0.03
