Хлеб;45.5;2.0;91.0
Молоко;65.3;1.5;97.94999999999999
Сыр;320.9;0.75;240.67499999999998
Яблоки;89.99;3.2;287.968
Масло;150.0;1.25;187.5
Колбаса;270.75;0.9;243.675
Курица;210.4;2.3;483.91999999999996
Шоколад;99.9;1.0;99.9
Кофе;450.0;0.3;135.0
Чай;120.2;1.75;210.35
Сахар;70.0;2.5;175.0
Мука;55.6;3.0;166.8
Кетчуп;88.8;1.2;106.55999999999999
Рыба;310.99;0.8;248.79200000000003
Йогурт;45.25;2.1;95.025
Пельмени;190.0;1.75;332.5
Майонез;78.5;1.3;102.05
Печенье;60.6;2.6;157.56
Сок;110.1;2.2;242.22
Каша;34.75;3.3;114.675
ИТОГО;2867.53;35.7;102370.821
